
                                      CodeAnalysis - Version 1.8
    ==============================================================================================
     Wed Nov  7 19:43:03 2018
     Path: "C:\Users\Ganesh\Desktop\SU\CSE681_SMA\Project_3\Project_3\Toker"
     Args: *.cs, Toker.cs, /v, /m, /r, /f, /p
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                             namespace                   Global Namespace       1       1     239

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                  Toker.cs   namespace                              Lexer      57     860     119
                  Toker.cs   interface                       ITokenSource      68       8       2
                  Toker.cs   interface                        ITokenState      82       4       1
                  Toker.cs       class                              Toker      92     149      19
                  Toker.cs    function                              Toker      99       3       1
                  Toker.cs    function                               open     108       5       1
                  Toker.cs    function                              close     116       3       1
                  Toker.cs    function                          overwrite     128       7       1
                  Toker.cs    function                             getTok     138      11       2
                  Toker.cs    function                             isDone     152       5       1
                  Toker.cs    function                          lineCount     158       2       1
                  Toker.cs    function                       isWhiteSpace     164       5       1
                  Toker.cs    function                          isNewLine     172       5       1
                  Toker.cs    function                         isAlphaNum     180       5       1
                  Toker.cs    function                       isPunctuator     188       9       1
                  Toker.cs    function                isSingleLineComment     200       7       1
                  Toker.cs    function              isMultipleLineComment     210       7       1
                  Toker.cs    function                      isDoubleQuote     220      11       2
                  Toker.cs    function                      isSingleQuote     234       5       1
                  Toker.cs       class                       TokenContext     247      26      12
                  Toker.cs    function                       TokenContext     249      11       1
                  Toker.cs       class                         TokenState     278     196      25
                  Toker.cs    function                         TokenState     284      10       3
                  Toker.cs    function                    addOneCharToken     297       6       1
                  Toker.cs    function                 removeOneCharToken     306       3       1
                  Toker.cs    function                    addTwoCharToken     312       6       1
                  Toker.cs    function                 removeTwoCharToken     321       3       1
                  Toker.cs    function                               open     327       3       1
                  Toker.cs    function                       isWhiteSpace     337       4       1
                  Toker.cs    function                          isNewLine     344       3       1
                  Toker.cs    function                         isAlphaNum     350       4       1
                  Toker.cs    function                isSingleLineComment     357       7       1
                  Toker.cs    function                 isMultiLineComment     367       7       1
                  Toker.cs    function                      isDoubleQuote     377       9       2
                  Toker.cs    function                      isSingleQuote     389       4       1
                  Toker.cs    function                      isPunctuation     396       6       1
                  Toker.cs    function                          nextState     405      37       1
                  Toker.cs    function                             isDone     444       5       1
                  Toker.cs    function                          isEscaped     457      15       2
                  Toker.cs       class                    WhiteSpaceState     504      20       4
                  Toker.cs    function                    WhiteSpaceState     506       3       1
                  Toker.cs    function                             getTok     512      10       2
                  Toker.cs       class                       NewLineState     528      16       3
                  Toker.cs    function                       NewLineState     530       3       1
                  Toker.cs    function                             getTok     536       6       1
                  Toker.cs       class                      AlphaNumState     548      20       4
                  Toker.cs    function                      AlphaNumState     550       3       1
                  Toker.cs    function                             getTok     556      10       2
                  Toker.cs       class             SingleLineCommentState     572      25       4
                  Toker.cs    function             SingleLineCommentState     574       3       1
